abv,image,name,official_content,origin,url,winery,year
50.0%,https://ip.distiller.com/images/spirits/4bfcc050-4555-0134-4b39-4e3efe09f566/kavalan_solist_manzanilla_tile.jpg?1479752732,Kavalan Solist Manzanilla Single Cask Strength,"Kavalan uses ex-Manzanilla casks for this barrel-proof release. Since these are single barrel, cask strength releases, the ABV will vary. Expect 50-60% ABV. Solist Manzanilla is set to debut in the U.S. in April 2017. Along with it will be three other new Solist expressions, Solist Amontillado, Solist PX, and Solist Moscatel."," Taiwan
",https://distiller.com/spirits/kavalan-solist-manzanilla,"
Kavalan ",NAS
55.4%,https://ip.distiller.com/images/spirits/1443d3e0-08cf-0134-b8d1-72f082cb0724/a_d_laws_single_barrel_secale_straight_rye_tile.jpg?1477948252,Laws Single Barrel Secale Straight Rye,"This rye whiskey is made from a 95% rye and 5% barley mash bill, made of all Colorado grains. It is distilled, aged, and bottled in Denver, Colorado. It is aged for no less than three years in standard 53-gallon American white oak barrels. This is a limited, seasonal release."," Colorado, USA
",https://distiller.com/spirits/a-d-laws-single-barrel-secale-straight-rye,"
Laws Whiskey House ",NAS
43.0%,https://ip.distiller.com/images/spirits/54312db0-fd5a-0133-d0db-7232cd5aff8b/caol_ila_25_year_tile.jpg?1463600034,Caol Ila 25 Year,"Caol Ila 25 year old is the oldest of the standard Caol Ila family. Like the rest of the standard lineup, it has been bottled at 43%, however it follows several cask-strength editions which were also aged for 25 years. A small amount of ex-sherry, European oak casks were used for maturation. Note:  This is not available in the U.S. "," Islay, Scotland
",https://distiller.com/spirits/caol-ila-25-year,"
Caol Ila ",25 Year
43.0%,https://ip.distiller.com/images/spirits/7e052f10-f848-0133-a3f9-52e91e072fa4/suntory_the_chita_single_grain_tile.jpg?1462999079,Suntory The Chita Single Grain,"From Suntory's ""silent"" distillery in the Aichi Prefecture, this is a single grain whisky from the Chita Distillery, which opened in 1972 in Port Nagoya, Japan. This grain distillery already produces whiskies you know and love, namely the grain whisky backbone of the Hibiki range and other Suntory products. Extremely rare offerings aside, Suntory hasn't bothered to bottle much of anything from Chita as a single grain. Its one domestic core range product, the Chita Grain (which was already a limited-production bottling), all but disappeared as demand for Hibiki expanded. Initially released for the Japanese market in September 2015, beginning in July 2016, it will be available at select travel retail and duty free outlets."," Japan
",https://distiller.com/spirits/suntory-the-chita-single-grain,"
Suntory ",NAS
50.0%,https://ip.distiller.com/images/spirits/801566e0-d86a-0134-72c6-6eabb1e2dde2/bruichladdich_the_laddie_10_year_2nd_edition_tile.jpg?1490845891,Bruichladdich The Laddie 10 Year (2nd Edition),"After reopening the distillery in 2001, Bruichladdich has had to work diligently to stash away well-aged stock in large supply. The wait has been worth it with the 2nd edition of the coveted Bruichladdich 10 Year Old which debuted Christmastime 2016. Aged in first-fill bourbon, sherry, and French wine barrels. Bottled at 50% ABV, the global run included 18,000 total bottles."," Islay, Scotland
",https://distiller.com/spirits/bruichladdich-the-laddie-10-year-2nd-edition,"
Bruichladdich ",10 Year
58.8%,https://ip.distiller.com/images/spirits/b3ecb510-ec97-0133-5d8c-0632ac7dc547/teeling_white_burgundy_finished_single_cask_tile.jpg?1462570464,Teeling Single Cask Single Malt White Burgundy Finish,"This release is an 11 year single malt. After starting life in ex-bourbon casks, it was held in ex-white Burgundy casks for its final two years. It's one of the many gems available for inquiring minds during a visit to the distillery's tasting room in Dublin."," Ireland
",https://distiller.com/spirits/teeling-single-cask-single-malt-white-burgundy-finish,"
Teeling ",11 Year
43.0%,https://ip.distiller.com/images/spirits/12cbbd90-e6bc-0133-62fc-229b14a9ee3e/forty_creek_evolution_tile.jpg?1461009911,Forty Creek Evolution,"Evolution walked upright onto store shelves in 2014. It was John Hall’s 8th special release. The whisky is a blend of three year-old corn, barley and rye whiskies that were then re-distilled before being aged for an additional 9 years in French oak cabernet sauvignon wine casks. Some additional whisky casks were blended in for balancing. The name is attributed to John Hall’s evolution as a whisky maker and the evolution of his whiskies. "," Ontario, Canada
",https://distiller.com/spirits/forty-creek-evolution,"
Forty Creek ",NAS
43.0%,https://ip.distiller.com/images/spirits/93660cd0-dcc5-0133-996c-568a662b4ad6/glenmorangie_the_quarter_century_25_year_tile.jpg?1460068996,Glenmorangie The Quarter Century 25 Year,"The oldest member of Glenmorangie's ""Extra-Matured"" range, The Quarter Century showcases the highly-respected wood program under Bill Lumsden's stewardship at the Glenmorangie Distillery. The whisky is a blend of single malts that have spent twenty-five years in a combination of ex-bourbon barrels sourced from the American Ozarks, ex-red wine casks from Burgundy, France, and ex-Oloroso sherry Spanish oak."," Highlands, Scotland
",https://distiller.com/spirits/glenmorangie-the-quarter-century-25-year,"
Glenmorangie ",25 Year
40.0%,https://ip.distiller.com/images/spirits/6b3f8f30-d37a-0133-c037-269b797bd1ba/century_reserve_21_year_tile.jpg?1458845455,Century Reserve 21 Year Canadian Whisky,The bottle’s label may say “Canadian Rye Whisky” but this is 100% corn whisky. Rye is a popular alias for Canadian Whisky. German and Dutch immigrants added small amounts of rye-grain flour to their mashes to boost the flavor of their whisky. They called this new whisky style “rye” and it quickly became so popular that Canadian Whisky was branded “Rye” regardless of the grain composition. There are now just a few 100% corn whiskies made in Canada. Note:  This is not currently available in the U.S.," Alberta, Canada
",https://distiller.com/spirits/century-reserve-21-year,"
Highwood ",21 Year
53.9%,https://ip.distiller.com/images/spirits/bda37430-d294-0133-e597-1aead09cefec/highland_park_ice_edition_tile.jpg?1459273154,Highland Park Ice Edition,"Released in March 2016, The Ice Edition (soon to be followed by the Fire Edition) hearkens back to Orkney's Norse roots. In Norse mythology, the world of ice (Niflheim) and the world of fire (Muspellsheim) were the first realms of the Vikings' universe. The Ice Edition is primarily aged in ex-bourbon casks, breaking from the distillery's tradition of sherry-maturation. Aged for seventeen years, and bottled at 53.9% ABV. Only 30,000 bottles will be released."," Islands, Scotland
",https://distiller.com/spirits/highland-park-ice-edition,"
Highland Park ",17 Year
43.0%,https://ip.distiller.com/images/spirits/ac3ddc40-bbdb-0133-fad3-46e351e5cd54/hibiki_japanese_harmony_masters_select_tile.jpg?1456177597,Hibiki Harmony Japanese Harmony Master’s Select,"Hibiki Japanese Harmony Master’s Select was released in late 2015 for the global travel retail market (duty free). It's a blend of 10 different malt and grain whiskies that have aged in 5 different casks at the Yamazaki, Hakushu and Chita distilleries in Japan. It carries no age statement and is bottled at 43% ABV."," Japan
",https://distiller.com/spirits/hibiki-japanese-harmony-master-s-select,"
Hibiki ",NAS
45.2%,https://ip.distiller.com/images/spirits/57fc6800-a6a0-0133-04f5-5efe5e4195ce/woodford_reserve_frosty_four_wood_tile.jpg?1453843141,Woodford Reserve Frosty Four Wood Bourbon,"Frosty Four Wood is the third expression in Woodford Reserve's Distillery Series.The whiskey is initially aged in new, American oak, then finished in maple wood, sherry, and port barrels. The ""Frosty"" in the name refers to the whiskey's exposure to extremely low temperatures during the 2013 Polar Vortex, which resulted in mineral precipitation. The whiskey is bottled at 90.4-proof whiskey and is sold in 375ml bottles at the distillery and select Kentucky retailers."," Kentucky, USA
",https://distiller.com/spirits/woodford-reserve-frosty-four-wood-bourbon,"
Woodford Reserve ",NAS
61.2%,https://ip.distiller.com/images/spirits/483b5200-b8c2-0133-09d2-5e0d0c11b315/balcones_true_blue_cask_strength_tile.jpg?1455836838,Balcones True Blue Cask Strength,"Balcones True Blue Cask Strength is a special annual release whiskey bottled straight from the barrel.  This non-chill-filtered corn whiskey is distilled from roasted blue corn and made without additives in the distillery's hometown of Waco, Texas."," Texas, USA
",https://distiller.com/spirits/balcones-true-blue-cask-strength,"
Balcones ",NAS
63.35%,https://ip.distiller.com/images/spirits/e6caff10-f555-0133-1969-56e35b8e225c/bookers_bourbon_batch_2016_02_annis_answer_tile.jpg?1462556194,"Booker's Bourbon Batch 2016-02 ""Annis' Answer""","Booker's Bourbon Batch 2016-02 is the second release in a series of six that honors the late Master Distiller Booker Noe, who passed away in 2004. The label features a diamond ring for when he proposed to his future wife, Annis Wickham. They married in 1956 and would have celebrated their 60th wedding anniversary in 2016. The barrels in this batch were aged between 6 years/2 months/1 day to 7 years/1 month. Uncut and unfiltered, it's been bottled at 63.35% ABV. "," Kentucky, USA
",https://distiller.com/spirits/booker-s-bourbon-batch-2016-02-annis-answer,"
Booker's ","6 YR, 2 MO, 1 D"
48.0%,https://ip.distiller.com/images/spirits/0e666cd0-c778-0133-042b-42d4b334dd89/lagavulin_8_year_tile.jpg?1457468465,Lagavulin 8 Year,"Lagavulin 8 was released in conjunction with the distillery's 200th anniversary in 2016. It's meant as a throwback to the style of whisky Lagavulin may have been producing around the 1880s. That's when author, Alfred Barnard, visited all the distilleries in Great Britain, over 150 of them, and came away with the opinion that Lagavulin was just one of a few putting out single malt worthy of drinking on its own, as opposed to being solely destined for a blend.  As of November 2017, this is whisky is now a core bottling for the distillery instead of a limited edition with new labels to follow."," Islay, Scotland
",https://distiller.com/spirits/lagavulin-8-year,"
Lagavulin ",8 Year
43.0%,https://ip.distiller.com/images/spirits/4f24b140-9a04-0133-7dde-76435b5b6a3a/glenmorangie_duthac_tile.jpg?1452629561,Glenmorangie Duthac,This travel retail exclusive is named in honor of the pilgrimage made by King James IV to the shrine of St Duthac in Tain. It's aged in ex-bourbon casks and then finished in a combination of ex-Pedro Ximenez sherry casks and charred virgin oak casks.," Highlands, Scotland
",https://distiller.com/spirits/glenmorangie-duthac,"
Glenmorangie ",NAS
47.0%,https://ip.distiller.com/images/spirits/6712f6d0-931b-0133-4d4e-1a03b93fed87/garrison_brothers_2015_texas_straight_bourbon_whiskey_tile.jpg?1455145661,Garrison Brothers Texas Straight Bourbon Whiskey (2015 Release),"Based in Hye, Texas, Garrison Brothers is all about repping the Lone Star State. They utilize Texas-grown ""#1 Panhandle White"" corn for their bourbon, while incorporating soft red winter wheat and barley into the mash bill. Each bottle is meticulously labeled to showcase as much detail as possible. Here, Dallam County Farms provided the corn from a 2011 harvest, leading to a 2012 distillation period and three year aging process in the hot Texas sun."," Texas, USA
",https://distiller.com/spirits/garrison-brothers-texas-straight-bourbon-whiskey-2015,"
Garrison Brothers ",3 Year
40.0%,https://ip.distiller.com/images/spirits/2a96c880-a37f-0133-51c0-12ddfb1f0fff/aberfeldy_16_year_tile.jpg?1453599979,Aberfeldy 16 Year,"Aberfeldy 16 Year is part of the Last Great Malts of Scotland collection from John Dewar & Sons. Built in 1898 by the Dewar family themselves, Aberfeldy is known as ""the golden dram"" for it's water source, the Pitilie Burn, which was believed to be rich in alluvial gold deposits. After finishing in Oloroso sherry casks, it is bottled at 40% ABV."," Scotland
",https://distiller.com/spirits/aberfeldy-16-year,"
Aberfeldy ",16 Year
44.0%,https://ip.distiller.com/images/spirits/d8c4f4f0-9d34-0133-7b0f-421030d3818b/slaughter_house_american_whiskey_tile.jpg?1452807411,Slaughter House American Whiskey,"David Phinney is the winemaker of California's Orin Swift Cellars and the procurer of whiskey released by his spirits company, The Splinter Group. This American whiskey is made from a mash bill of 85% corn, 8% wheat, 6% rye, and 1% malted barley. After aging 9 years in American oak, this whiskey finishes for an undisclosed time in barrels that previously held the winery's proprietary Bordeaux blend, Papillon. Slaughter House American Whiskey was released in 2015 and is a follow-up to the company's first product, Straight Edge Bourbon. "," (Bottled in California), USA
",https://distiller.com/spirits/slaughter-house-american-whiskey,"
The Splinter Group ",NAS
